Speaker: Simeón
  Tier Type: po, Annotations Count: 680
    Time Stamp: ("'ts1321'", "'ts1322'"), Annotation: ya
    Time Stamp: ("'ts1333'", "'ts1334'"), Annotation: ha
    Time Stamp: ("'ts1335'", "'ts1336'"), Annotation: chay hora
    Time Stamp: ("'ts1344'", "'ts1345'"), Annotation: haaaaaa
    Time Stamp: ("'ts1348'", "'ts1350'"), Annotation: solo garnukunaguan
    Time Stamp: ("'ts1351'", "'ts1352'"), Annotation: shina
    Time Stamp: ("'ts1353'", "'ts1354'"), Annotation: eeeee
    Time Stamp: ("'ts1355'", "'ts1356'"), Annotation: papa
    Time Stamp: ("'ts1357'", "'ts1358'"), Annotation: yyyyyyy
    Time Stamp: ("'ts1359'", "'ts1360'"), Annotation: melloco
    Time Stamp: ("'ts1361'", "'ts1362'"), Annotation: oca
    Time Stamp: ("'ts1363'", "'ts1364'"), Annotation: chaykunata
    Time Stamp: ("'ts1369'", "'ts1370'"), Annotation: urkuman
    Time Stamp: ("'ts1371'", "'ts1372'"), Annotation: chaypiiiiii
    Time Stamp: ("'ts1373'", "'ts1374'"), Annotation: alpata charingichi jaguapi
    Time Stamp: ("'ts1375'", "'ts1376'"), Annotation: hoooo
    Time Stamp: ("'ts1377'", "'ts1379'"), Annotation: hoooo
    Time Stamp: ("'ts1381'", "'ts1382'"), Annotation: na
    Time Stamp: ("'ts1383'", "'ts1386'"), Annotation: trabaja
    Time Stamp: ("'ts1387'", "'ts1389'"), Annotation: guaykomanta
    Time Stamp: ("'ts1391'", "'ts1392'"), Annotation: kaypi pamba
    Time Stamp: ("'ts1393'", "'ts1395'"), Annotation: llagtaman
    Time Stamp: ("'ts1412'", "'ts1414'"), Annotation: kausan
    Time Stamp: ("'ts1416'", "'ts1418'"), Annotation: a ver
    Time Stamp: ("'ts1419'", "'ts1420'"), Annotation: asha tagshasha
    Time Stamp: ("'ts1421'", "'ts1422'"), Annotation: (asin)
