Speaker: SIMEON A
  Tier Type: po, Annotations Count: 720
    Time Stamp: ("'ts2153'", "'ts2154'"), Annotation: chiannnn
    Time Stamp: ("'ts2155'", "'ts2156'"), Annotation: Llano
    Time Stamp: ("'ts2157'", "'ts2158'"), Annotation: grande
    Time Stamp: ("'ts2159'", "'ts2160'"), Annotation: eeeee
    Time Stamp: ("'ts2161'", "'ts2162'"), Annotation: Cocoto
    Time Stamp: ("'ts2182'", "'ts2184'"), Annotation: San visa
    Time Stamp: ("'ts2194'", "'ts2196'"), Annotation: no se
    Time Stamp: ("'ts2197'", "'ts2201'"), Annotation: tapuna kani
    Time Stamp: ("'ts2203'", "'ts2205'"), Annotation: rrinaka
    Time Stamp: ("'ts2206'", "'ts2209'"), Annotation: rrinakani
    Time Stamp: ("'ts2220'", "'ts2222'"), Annotation: Nayon
    Time Stamp: ("'ts2227'", "'ts2228'"), Annotation: maskajuni
    Time Stamp: ("'ts2230'", "'ts2232'"), Annotation: maypishi
    Time Stamp: ("'ts2241'", "'ts2242'"), Annotation: mmm
    Time Stamp: ("'ts2243'", "'ts2244'"), Annotation: ari
    Time Stamp: ("'ts2245'", "'ts2246'"), Annotation: ñuka
    Time Stamp: ("'ts2247'", "'ts2248'"), Annotation: siempre
    Time Stamp: ("'ts2249'", "'ts2250'"), Annotation: purirkani
    Time Stamp: ("'ts2251'", "'ts2252'"), Annotation: Imbaburapi
    Time Stamp: ("'ts2253'", "'ts2254'"), Annotation: Cotopaxipipash
    Time Stamp: ("'ts2255'", "'ts2256'"), Annotation: Cayambe
    Time Stamp: ("'ts2257'", "'ts2258'"), Annotation: shina
    Time Stamp: ("'ts2259'", "'ts2260'"), Annotation: pero
    Time Stamp: ("'ts2261'", "'ts2262'"), Annotation: mana
    Time Stamp: ("'ts2263'", "'ts2264'"), Annotation: yapa
    Time Stamp: ("'ts2265'", "'ts2266'"), Annotation: kay
    Time Stamp: ("'ts2267'", "'ts2268'"), Annotation: Quitooo
    Time Stamp: ("'ts2269'", "'ts2270'"), Annotation: comunakunapi
    Time Stamp: ("'ts2271'", "'ts2272'"), Annotation: kunan ña
    Time Stamp: ("'ts2273'", "'ts2274'"), Annotation: kunan uyajuni
    Time Stamp: ("'ts2275'", "'ts2276'"), Annotation: Quitomanta
    Time Stamp: ("'ts2277'", "'ts2278'"), Annotation: parlay
    Time Stamp: ("'ts2279'", "'ts2280'"), Annotation: kushijuni
    Time Stamp: ("'ts2281'", "'ts2283'"), Annotation: kutin
    Time Stamp: ("'ts2284'", "'ts2286'"), Annotation: mana
    Time Stamp: ("'ts2287'", "'ts2288'"), Annotation: tianga
    Time Stamp: ("'ts2295'", "'ts2296'"), Annotation: ari
    Time Stamp: ("'ts2297'", "'ts2298'"), Annotation: kunan ya
    Time Stamp: ("'ts2299'", "'ts2300'"), Annotation: Yano grandepash
    Time Stamp: ("'ts2301'", "'ts2302'"), Annotation: purishkani
    Time Stamp: ("'ts2303'", "'ts2305'"), Annotation: kaypipash
    Time Stamp: ("'ts2306'", "'ts2308'"), Annotation: jipaman
    Time Stamp: ("'ts2309'", "'ts2310'"), Annotation: rriniiiiiii
    Time Stamp: ("'ts2311'", "'ts2312'"), Annotation: Valle de los Chillos
    Time Stamp: ("'ts2313'", "'ts2314'"), Annotation: Alangasiiiiiiiiii
    Time Stamp: ("'ts2315'", "'ts2316'"), Annotation: chay
    Time Stamp: ("'ts2317'", "'ts2318'"), Annotation: chay
    Time Stamp: ("'ts2319'", "'ts2320'"), Annotation: chaykunapipish
    Time Stamp: ("'ts2321'", "'ts2322'"), Annotation: tianmi
    Time Stamp: ("'ts2325'", "'ts2326'"), Annotation: shina niguarka
    Time Stamp: ("'ts2327'", "'ts2328'"), Annotation: rrigpi
    Time Stamp: ("'ts2329'", "'ts2330'"), Annotation: manara
    Time Stamp: ("'ts2332'", "'ts2335'"), Annotation: rrisha
    Time Stamp: ("'ts2337'", "'ts2338'"), Annotation: rrinakani
    Time Stamp: ("'ts2339'", "'ts2341'"), Annotation: ñaaa
    Time Stamp: ("'ts2342'", "'ts2347'"), Annotation: imaurapash
    Time Stamp: ("'ts2351'", "'ts2353'"), Annotation: asin
    Time Stamp: ("'ts2355'", "'ts2356'"), Annotation: ima shina
    Time Stamp: ("'ts2357'", "'ts2358'"), Annotation: parlan
    Time Stamp: ("'ts2359'", "'ts2360'"), Annotation: kaypi
    Time Stamp: ("'ts2361'", "'ts2362'"), Annotation: chaypi
    Time Stamp: ("'ts2363'", "'ts2364'"), Annotation: chaypi
    Time Stamp: ("'ts2365'", "'ts2367'"), Annotation: chayta uyashpa
    Time Stamp: ("'ts2371'", "'ts2372'"), Annotation: ari
    Time Stamp: ("'ts2374'", "'ts2376'"), Annotation: shina
    Time Stamp: ("'ts2377'", "'ts2378'"), Annotation: trabajajuni
    Time Stamp: ("'ts2379'", "'ts2380'"), Annotation: pero
    Time Stamp: ("'ts2381'", "'ts2382'"), Annotation: mas
    Time Stamp: ("'ts2383'", "'ts2384'"), Annotation: ñuka
    Time Stamp: ("'ts2385'", "'ts2386'"), Annotation: yachachini
    Time Stamp: ("'ts2387'", "'ts2388'"), Annotation: universidadpi
    Time Stamp: ("'ts2389'", "'ts2391'"), Annotation: lunes
    Time Stamp: ("'ts2392'", "'ts2393'"), Annotation: a
    Time Stamp: ("'ts2394'", "'ts2396'"), Annotation: jueves
    Time Stamp: ("'ts2397'", "'ts2399'"), Annotation: yachachini
    Time Stamp: ("'ts2400'", "'ts2402'"), Annotation: yachcachini
    Time Stamp: ("'ts2403'", "'ts2405'"), Annotation: viernes
    Time Stamp: ("'ts2406'", "'ts2408'"), Annotation: sabado
    Time Stamp: ("'ts2409'", "'ts2410'"), Annotation: tiempota charini
    Time Stamp: ("'ts2411'", "'ts2412'"), Annotation: shina
    Time Stamp: ("'ts2413'", "'ts2415'"), Annotation: puringapa
    Time Stamp: ("'ts2417'", "'ts2419'"), Annotation: ari
    Time Stamp: ("'ts2420'", "'ts2422'"), Annotation: pero
    Time Stamp: ("'ts2423'", "'ts2424'"), Annotation: lunes
    Time Stamp: ("'ts2425'", "'ts2426'"), Annotation: a
    Time Stamp: ("'ts2427'", "'ts2428'"), Annotation: jueves
    Time Stamp: ("'ts2429'", "'ts2430'"), Annotation: yachachini
    Time Stamp: ("'ts2431'", "'ts2433'"), Annotation: chaypi
    Time Stamp: ("'ts2449'", "'ts2450'"), Annotation: ha ya
    Time Stamp: ("'ts2451'", "'ts2452'"), Annotation: ñuka
    Time Stamp: ("'ts2453'", "'ts2454'"), Annotation: casi
