Speaker: Mujer Joven
  Tier Type: po, Annotations Count: 195
    Time Stamp: ("'ts1761'", "'ts1762'"), Annotation: kayka mamia
    Time Stamp: ("'ts1792'", "'ts1795'"), Annotation: ya ya
  Tier Type: tn, Annotations Count: 195
    Time Stamp: ('',), Annotation: Ya esta grabando
    Time Stamp: ('',), Annotation: Yo jaja
    Time Stamp: ('',), Annotation: Ya preguntale
    Time Stamp: ('',), Annotation: Setenta y tres años
    Time Stamp: ('',), Annotation: Donde encontrara
    Time Stamp: ('',), Annotation: ya ya
    Time Stamp: ('',), Annotation: Ya esta enojada
    Time Stamp: ('',), Annotation: Pregunta a el dice
    Time Stamp: ('',), Annotation: quita (...)
    Time Stamp: ('1',), Annotation: Como era (...)
    Time Stamp: ('1',), Annotation: Ya esta grabando?
    Time Stamp: ('1',), Annotation: Y mamita donde naciste de donde eres eres de aqui mismo?
    Time Stamp: ('1',), Annotation: Tu mama era de Chilla pata o tu papa?
    Time Stamp: ('1',), Annotation: A los cuantos años veniste aca mamita?
    Time Stamp: ('1',), Annotation: Y mi abuelitua que edad murio?
    Time Stamp: ('1',), Annotation: Mi abuelitu era bueno?
    Time Stamp: ('1',), Annotation: Yo no conoci a mi abuelito
    Time Stamp: ('1',), Annotation: Buenasta tardes tio abelardo. Mi tio esta llegando
    Time Stamp: ('1',), Annotation: con mi abuelito vivias mamita
    Time Stamp: ('2',), Annotation: y en otro lado vivias muho tiempo
    Time Stamp: ('2',), Annotation: que edad tenias cuando murio tu mami?
    Time Stamp: ('2',), Annotation: Tu papa murio primero?
    Time Stamp: ('2',), Annotation: Ah y ellos donde vivian?
    Time Stamp: ('2',), Annotation: y ahora este abuelo?
    Time Stamp: ('2',), Annotation: pese a que estuvo casado murio
    Time Stamp: ('2',), Annotation: cinco son cinco
    Time Stamp: ('2',), Annotation: Solo nuestro
    Time Stamp: ('2',), Annotation: Y como solias llevar para arriba tu mami?
    Time Stamp: ('2',), Annotation: te fuiste a la comunidad
    Time Stamp: ('3',), Annotation: que te fuiste a vender
    Time Stamp: ('3',), Annotation: y el maiz
    Time Stamp: ('3',), Annotation: Y esta semana vas a reunir para  ir a vender?
    Time Stamp: ('3',), Annotation: Y tu  maita si estas cultivando la papa?
    Time Stamp: ('3',), Annotation: Donde tienes?
    Time Stamp: ('3',), Annotation: Mucho frio debe estar por la loma de arriba
    Time Stamp: ('3',), Annotation: quien ayuda a llevar a mamita?
    Time Stamp: ('3',), Annotation: mamita te has enfermado ahora?
    Time Stamp: ('26',), Annotation: No viene la tia a verlo?
    Time Stamp: ('26',), Annotation: y la tia Cuchita?
    Time Stamp: ('26',), Annotation: Viene Imali?
    Time Stamp: ('27',), Annotation: no vienen nadie para ver a la mamita?
    Time Stamp: ('27',), Annotation: Paso un temblor mamita sentiste?
    Time Stamp: ('27',), Annotation: Paso el temblor a las diez de la noche
    Time Stamp: ('27',), Annotation: mm sentiste un año
    Time Stamp: ('27',), Annotation: temblo la tierra
    Time Stamp: ('27',), Annotation: ahi antes solia pastar ovejas
    Time Stamp: ('27',), Annotation: siendo pequeñas pasabamos
    Time Stamp: ('27',), Annotation: ahora mis abuela no tiene borregos ahi viviamos
    Time Stamp: ('27',), Annotation: Porque se llama Padre Rumi
    Time Stamp: ('27',), Annotation: porque el padre esta pasando pr ahi por eso el nombre
    Time Stamp: ('28',), Annotation: dicen al cura
    Time Stamp: ('28',), Annotation: en la iglesia hay un padre que pasa
    Time Stamp: ('28',), Annotation: por eso dice al padre de llano de piedras
    Time Stamp: ('28',), Annotation: es una piedra grande
    Time Stamp: ('28',), Annotation: tambien yo conozco eso
    Time Stamp: ('28',), Annotation: algun rato viniendo de madrugada el camino si llega alla
    Time Stamp: ('28',), Annotation: yo conozco son los lugares de mi abuelita que yo solia pastar borrego
    Time Stamp: ('28',), Annotation: si
    Time Stamp: ('28',), Annotation: Asimismo siendo caliendo coo hoy
    Time Stamp: ('28',), Annotation: Para mi la persona
    Time Stamp: ('29',), Annotation: mas atraz soliamos irnos al lugar que le dice Runa wango
    Time Stamp: ('29',), Annotation: es votado el pasto en la montaña
    Time Stamp: ('29',), Annotation: libre la hierva  las ovejas
    Time Stamp: ('29',), Annotation: si
    Time Stamp: ('29',), Annotation: a la hierba
    Time Stamp: ('29',), Annotation: de lejos regresa
    Time Stamp: ('29',), Annotation: se solia ir cargando la almuerzo
    Time Stamp: ('29',), Annotation: en la madrugada. ya a est hora y se debia regresar
    Time Stamp: ('29',), Annotation: tambien abajo en Candela Faso
    Time Stamp: ('29',), Annotation: Por aca abajo existe una quebrada
    Time Stamp: ('30',), Annotation: mi abuelita
    Time Stamp: ('30',), Annotation: es la laguna de patos
    Time Stamp: ('30',), Annotation: todos como la casa son en el agua
    Time Stamp: ('30',), Annotation: de alla adentro gotea el agua
    Time Stamp: ('30',), Annotation: no hay no se no conocemos
    Time Stamp: ('30',), Annotation: por estos campos hay
    Time Stamp: ('30',), Annotation: ari ah
    Time Stamp: ('30',), Annotation: Habla el diablo
    Time Stamp: ('30',), Annotation: asi dicen en la montaña
    Time Stamp: ('30',), Annotation: colarawmi hubo.
    Time Stamp: ('31',), Annotation: dijieron que ha llevado.
    Time Stamp: ('31',), Annotation: dijieron que el diablo ha llevad
    Time Stamp: ('31',), Annotation: viniendo un ser grande y votando lejos el cerramiento
    Time Stamp: ('31',), Annotation: ha llevado a esa piedra
    Time Stamp: ('31',), Annotation: es tenebroso nosotros vivimos ahi con mucho miedo
    Time Stamp: ('31',), Annotation: Hay una pequea una loza
    Time Stamp: ('31',), Annotation: nosotros cuidando hierva es ahi
    Time Stamp: ('31',), Annotation: oveja ganados
    Time Stamp: ('31',), Annotation: No me voy ya por mucho tiempo
    Time Stamp: ('31',), Annotation: Mi abuelita tampoco va
    Time Stamp: ('32',), Annotation: en esos momentos estuvo recien
    Time Stamp: ('32',), Annotation: la garganta de cuello
    Time Stamp: ('32',), Annotation: no eso estuvo por aca abajo
    Time Stamp: ('32',), Annotation: Candela Faso
    Time Stamp: ('32',), Annotation: es con la montaña
    Time Stamp: ('32',), Annotation: no se dice mi abuela
    Time Stamp: ('32',), Annotation: mi difunto abuelo sabia
    Time Stamp: ('32',), Annotation: No me acuerdo dice mi abuela
    Time Stamp: ('32',), Annotation: Padrino tu quieres preguntar?
    Time Stamp: ('32',), Annotation: A mi abuela tu quieres conversar o yo hago conversar
    Time Stamp: ('33',), Annotation: ah ya conversemos
    Time Stamp: ('33',), Annotation: aqui mi abuela esta escuela
    Time Stamp: ('33',), Annotation: dando terreno
    Time Stamp: ('33',), Annotation: en nuestro terreno existe escuela
    Time Stamp: ('33',), Annotation: la plaza esta en el terreno de mi abuela
    Time Stamp: ('76',), Annotation: a mi abuela que no sabe llevando
    Time Stamp: ('76',), Annotation: lo que ella no mas debe poner mi abuela
    Time Stamp: ('76',), Annotation: no otro fundador asi
    Time Stamp: ('76',), Annotation: asi ha llevado no mas
    Time Stamp: ('76',), Annotation: si vente aca
    Time Stamp: ('76',), Annotation: sientese
    Time Stamp: ('76',), Annotation: si
    Time Stamp: ('76',), Annotation: no te sientas en la banca?
    Time Stamp: ('76',), Annotation: no saluda el saliendo
    Time Stamp: ('77',), Annotation: eso es la oca
    Time Stamp: ('77',), Annotation: buena cabeza
    Time Stamp: ('77',), Annotation: en este año la oca si dio frutos
    Time Stamp: ('77',), Annotation: anos pasado si hubo
    Time Stamp: ('77',), Annotation: si hacen encontrar
    Time Stamp: ('77',), Annotation: Cuando entierras si crece
    Time Stamp: ('77',), Annotation: en noviembre ojala llueva
    Time Stamp: ('77',), Annotation: Noviembre
    Time Stamp: ('77',), Annotation: si no hay hierba para los ganados
    Time Stamp: ('77',), Annotation: pelando
    Time Stamp: ('78',), Annotation: amarillo
    Time Stamp: ('78',), Annotation: rojo
    Time Stamp: ('78',), Annotation: otra vez
    Time Stamp: ('78',), Annotation: Mariana tiene oca roja
    Time Stamp: ('78',), Annotation: si mucho
    Time Stamp: ('78',), Annotation: es lo mismo
    Time Stamp: ('78',), Annotation: si tambien sembramos mellocos
    Time Stamp: ('78',), Annotation: Papas melloco oca
    Time Stamp: ('78',), Annotation: cebada cebolla
