Speaker: hombre 1
  Tier Type: po, Annotations Count: 772
    Time Stamp: ("'ts447'", "'ts448'"), Annotation: yanga matsigata shina pilchipi
    Time Stamp: ("'ts449'", "'ts450'"), Annotation: jundundi japishpi atala matsicata japish
    Time Stamp: ("'ts451'", "'ts452'"), Annotation: utilakunata paypa kusa shamungakamanga matsicata shina riga riga ñavipi shitashpallama
    Time Stamp: ("'ts453'", "'ts454'"), Annotation: kararkani nijun
    Time Stamp: ("'ts455'", "'ts456'"), Annotation: chayka mikurka kararkaninish
    Time Stamp: ("'ts457'", "'ts458'"), Annotation: nijujta uya rikuni shina
    Time Stamp: ("'ts459'", "'ts460'"), Annotation: chimanda kutin
    Time Stamp: ("'ts461'", "'ts462'"), Annotation: chifichaka kutin chaymandasi chay chifichallata
    Time Stamp: ("'ts463'", "'ts464'"), Annotation: shina rririnnin
    Time Stamp: ("'ts465'", "'ts466'"), Annotation: rishpaka kutin
    Time Stamp: ("'ts467'", "'ts468'"), Annotation: mashti
    Time Stamp: ("'ts469'", "'ts470'"), Annotation: kati kati shina shug pruririnaju china shug budapimii
    Time Stamp: ("'ts471'", "'ts472'"), Annotation: chifichaka kutin tukuririn kutinlla
    Time Stamp: ("'ts473'", "'ts474'"), Annotation: chifichaca mashti shina bodapika
    Time Stamp: ("'ts475'", "'ts476'"), Annotation: chay shina  ufianakurian
    Time Stamp: ("'ts477'", "'ts478'"), Annotation: chayka
    Time Stamp: ("'ts479'", "'ts480'"), Annotation: karashkanin
    Time Stamp: ("'ts481'", "'ts482'"), Annotation: chayka
    Time Stamp: ("'ts483'", "'ts484'"), Annotation: ashtalla
    Time Stamp: ("'ts485'", "'ts486'"), Annotation: na machasha nigka machachin nin   machachish shina
    Time Stamp: ("'ts487'", "'ts488'"), Annotation: bailachin imata rruaringa
    Time Stamp: ("'ts489'", "'ts490'"), Annotation: kanllaman chificha bailaaajunin
    Time Stamp: ("'ts491'", "'ts492'"), Annotation: asi
    Time Stamp: ("'ts493'", "'ts494'"), Annotation: shug jarilla tabla guasigunin
    Time Stamp: ("'ts495'", "'ts496'"), Annotation: chay ukupi yaykuchin  chay ukupi yaykuchin
    Time Stamp: ("'ts497'", "'ts498'"), Annotation: paylla bailaaaaaajunin chaymantaka na bailashachu
    Time Stamp: ("'ts499'", "'ts500'"), Annotation: na makasha
    Time Stamp: ("'ts501'", "'ts502'"), Annotation: nigka
    Time Stamp: ("'ts503'", "'ts504'"), Annotation: chinisipi chinichipi shta runkushpa puñukpika
    Time Stamp: ("'ts505'", "'ts506'"), Annotation: canllamanta yandakunaga
    Time Stamp: ("'ts507'", "'ts508'"), Annotation: .................................
    Time Stamp: ("'ts509'", "'ts510'"), Annotation: tigti tigti tigtila jundachishpa rupashing
    Time Stamp: ("'ts511'", "'ts512'"), Annotation: chay rupachigpimi ña
    Time Stamp: ("'ts513'", "'ts514'"), Annotation: tiiiiiiiiiiin ñavi nijunmi pay
    Time Stamp: ("'ts515'", "'ts516'"), Annotation: ......................
    Time Stamp: ("'ts517'", "'ts518'"), Annotation: tukushami imashapash tukushallami nishpalla villachijun
    Time Stamp: ("'ts519'", "'ts520'"), Annotation: shina rrupachishaka
    Time Stamp: ("'ts521'", "'ts522'"), Annotation: chay chifichaca shina
    Time Stamp: ("'ts523'", "'ts524'"), Annotation: tukuriring
    Time Stamp: ("'ts527'", "'ts528'"), Annotation: kutin shug cuentu tian kutin
    Time Stamp: ("'ts529'", "'ts530'"), Annotation: kundur kutin shug sulterata enamurana nin
    Time Stamp: ("'ts531'", "'ts532'"), Annotation: kundur shina purishkaaaaalla nin shina achika llamaguan
