Speaker: simeon
  Tier Type: po, Annotations Count: 1001
    Time Stamp: ("'ts494'", "'ts496'"), Annotation: imashutita
    Time Stamp: ("'ts498'", "'ts502'"), Annotation:  kipi ari otavalopipash nin kipi
    Time Stamp: ("'ts503'", "'ts504'"), Annotation: kipi
    Time Stamp: ("'ts505'", "'ts506'"), Annotation: mariposa
    Time Stamp: ("'ts508'", "'ts510'"), Annotation: pelpinto
    Time Stamp: ("'ts511'", "'ts514'"), Annotation: pelpinto con t nachu pelpinto
    Time Stamp: ("'ts515'", "'ts516'"), Annotation: aja
    Time Stamp: ("'ts517'", "'ts519'"), Annotation: nalga rravo
    Time Stamp: ("'ts520'", "'ts521'"), Annotation: siki
    Time Stamp: ("'ts523'", "'ts524'"), Annotation: cactus o espina
    Time Stamp: ("'ts526'", "'ts528'"), Annotation: kasha
    Time Stamp: ("'ts529'", "'ts530'"), Annotation: eemm
    Time Stamp: ("'ts531'", "'ts532'"), Annotation: animal de ganado domestico joven
    Time Stamp: ("'ts533'", "'ts534'"), Annotation: como ternero crea
    Time Stamp: ("'ts536'", "'ts537'"), Annotation: wakchu ajan
    Time Stamp: ("'ts540'", "'ts543'"), Annotation: wakchu igual wagrakuna oveja chita shinakunapash wakchachu kan o shuk
    Time Stamp: ("'ts546'", "'ts548'"), Annotation: wakchu como cria joven
    Time Stamp: ("'ts549'", "'ts550'"), Annotation: y uña tyanchu
    Time Stamp: ("'ts553'", "'ts556'"), Annotation: sillo na na kichwapi pero uña
    Time Stamp: ("'ts557'", "'ts558'"), Annotation: osea shuk palabra nin Cuscupi tyan nin pero kaypi na solo  rrikungapak porq ari uña
    Time Stamp: ("'ts559'", "'ts560'"), Annotation: haber e  caña
    Time Stamp: ("'ts561'", "'ts562'"), Annotation: como caña de azucar caña
    Time Stamp: ("'ts569'", "'ts572'"), Annotation: viru  nachu
    Time Stamp: ("'ts573'", "'ts574'"), Annotation: viru
    Time Stamp: ("'ts575'", "'ts577'"), Annotation: canoa tyanchu oyashkangui o solo canoa ningui o bote
    Time Stamp: ("'ts581'", "'ts584'"), Annotation: sierrapi na yapa tyanchu risa solo canoa
    Time Stamp: ("'ts586'", "'ts589'"), Annotation: wakinkuna talvez Orientiman rrishpa  por que chaypipash na uyashkani shuk kichwa palabra paykuna nin canoapash nachu
    Time Stamp: ("'ts590'", "'ts593'"), Annotation: canoay canoay rinchi nin nachu
    Time Stamp: ("'ts594'", "'ts600'"), Annotation: ari canoay canoapi ningapa canoay wakimpi churan chay y  como canoapi ñuka nisha solo canoa pero
    Time Stamp: ("'ts601'", "'ts602'"), Annotation: no tan comun risa aqui
    Time Stamp: ("'ts605'", "'ts611'"), Annotation: chapalapi tyan shuk propio palabra  canoa cule ajan cule paykuna canoapi kawsan paykuna risa
    Time Stamp: ("'ts613'", "'ts616'"), Annotation: paykuna shinchi shinchiruku kan ña maki chaki pero na yapa chanka
    Time Stamp: ("'ts617'", "'ts622'"), Annotation: na yapa purincho  chaki maki maki shina shinchiruku changanayapak  risa shina purin tiempo
    Time Stamp: ("'ts623'", "'ts624'"), Annotation: haber yuca kaypi
    Time Stamp: ("'ts626'", "'ts633'"), Annotation: lomo oyacachipipash puntamanta lomo ninchu o ari lomo porque normalmente sierrapi nana lomo ninchu porque mana riksinchu
    Time Stamp: ("'ts634'", "'ts637'"), Annotation: paykuna  yuca nin
    Time Stamp: ("'ts638'", "'ts642'"), Annotation: ari entercambiomanda ari  rriksinga chaymantapash palanda ninga kaypi yani wakimpi rrukukuna chay Oriente palabrakuna tyan
    Time Stamp: ("'ts643'", "'ts644'"), Annotation: haber cueva
    Time Stamp: ("'ts647'", "'ts649'"), Annotation: utku a y
    Time Stamp: ("'ts650'", "'ts652'"), Annotation: machi nachu
    Time Stamp: ("'ts653'", "'ts654'"), Annotation: machi
    Time Stamp: ("'ts655'", "'ts659'"), Annotation: chay rrirkanchik chay compañiaman y tapurkanchi chay urku shotik jambi makchik nachu m mm
    Time Stamp: ("'ts661'", "'ts662'"), Annotation: cien pies tyanchu
    Time Stamp: ("'ts666'", "'ts669'"), Annotation: patzak nachu patzak chaki risa na tyanchu
    Time Stamp: ("'ts671'", "'ts674'"), Annotation: cien pies nirin castellanomanda ajan
    Time Stamp: ("'ts675'", "'ts676'"), Annotation: mejilla
    Time Stamp: ("'ts678'", "'ts680'"), Annotation: uya ajan
    Time Stamp: ("'ts681'", "'ts682'"), Annotation: ñuka uayshkani talvez oyacachi chaymanda kan pero ñuka shuk teoria charini
    Time Stamp: ("'ts684'", "'ts685'"), Annotation: uyakan
    Time Stamp: ("'ts686'", "'ts688'"), Annotation: ari
    Time Stamp: ("'ts689'", "'ts690'"), Annotation: chay chapala shimipi tyanchu palabra uya pero paykuna mana  uta charinchu
    Time Stamp: ("'ts692'", "'ts696'"), Annotation: uya como gente de otra tierra extranjero ñukaman nin uya ñuka nirkani Oriente gentekunaka karka uya
    Time Stamp: ("'ts697'", "'ts698'"), Annotation: y chay uya entonces chaymanta kan oyachachi tuparishpa kaypi nirkanchi nachu
    Time Stamp: ("'ts699'", "'ts700'"), Annotation:  pero chaypi shuk chaypimi na kichwa kan chay pura kichwa
    Time Stamp: ("'ts701'", "'ts705'"), Annotation: uya kichwapi kan mijia nachu kaypi uya pero uya ña uya ari
    Time Stamp: ("'ts706'", "'ts713'"), Annotation: por que kichwa nima na charirka o shinaka chapala charin o y tsafiqui  tambien charin o entonces paykuna na chapala mana charin o tsafiqui charin
    Time Stamp: ("'ts714'", "'ts720'"), Annotation: y chchingarirka apala punda charirka y uwan chapurirshka porque tsafiqui charinmi
    Time Stamp: ("'ts721'", "'ts722'"), Annotation: chaymanta uya y oya es lo mismo palabra chay palabrakunapi
    Time Stamp: ("'ts723'", "'ts724'"), Annotation: haber pecho tyanchu
    Time Stamp: ("'ts727'", "'ts728'"), Annotation: aja
    Time Stamp: ("'ts730'", "'ts734'"), Annotation: na casco na   na nin  na tyanchu ajan
    Time Stamp: ("'ts735'", "'ts738'"), Annotation: pe pichu ninga pichu pichu ajan
    Time Stamp: ("'ts739'", "'ts740'"), Annotation: chicha
    Time Stamp: ("'ts745'", "'ts749'"), Annotation: kunan horas na yapa rrikuni kaypi pero talvez yuyaringa paypa wawakuna  ..........saraswan  nachu jura
    Time Stamp: ("'ts751'", "'ts752'"), Annotation: aji
    Time Stamp: ("'ts755'", "'ts756'"), Annotation: tyan papa seca papa seca
    Time Stamp: ("'ts759'", "'ts763'"), Annotation: chuno kaypi nin chuno ajan chuno papa
    Time Stamp: ("'ts765'", "'ts768'"), Annotation: Perupi nin chuñu o chuño ajan  chuno
    Time Stamp: ("'ts769'", "'ts772'"), Annotation: garas
    Time Stamp: ("'ts774'", "'ts777'"), Annotation: e talvez uñas tambien sillo nachu
    Time Stamp: ("'ts779'", "'ts781'"), Annotation: animalpak y gentipak igual nachu sillo
    Time Stamp: ("'ts783'", "'ts784'"), Annotation: ajan ee lodo barro
    Time Stamp: ("'ts786'", "'ts788'"), Annotation: turu barro
    Time Stamp: ("'ts789'", "'ts790'"), Annotation: presipicio o peñe de roca
    Time Stamp: ("'ts792'", "'ts794'"), Annotation: jaka
    Time Stamp: ("'ts795'", "'ts798'"), Annotation: pedaso de tierraa kaypash tyashka
    Time Stamp: ("'ts799'", "'ts803'"), Annotation: wakinguna nima  na tapushkani kaypi kawsashpa entonces asha  sorpresa  kan na yarini si kaypi tyan na tyanllu kurpa nachu
    Time Stamp: ("'ts805'", "'ts807'"), Annotation: na yapa parlani kurpamanda entonces na yapa
    Time Stamp: ("'ts809'", "'ts811'"), Annotation: haber nube
    Time Stamp: ("'ts812'", "'ts813'"), Annotation: fuyo nachu
    Time Stamp: ("'ts815'", "'ts818'"), Annotation: shuk palabra tyan Cuscupi paykuna nin wakinkuna a a pukuta pero na uyashkani  nima Ecuadorpi chayta
    Time Stamp: ("'ts819'", "'ts820'"), Annotation: cucaracha tyanchu
    Time Stamp: ("'ts822'", "'ts823'"), Annotation: ari
    Time Stamp: ("'ts825'", "'ts826'"), Annotation: peine
    Time Stamp: ("'ts831'", "'ts835'"), Annotation: ya pero y ñakcha
    Time Stamp: ("'ts838'", "'ts843'"), Annotation: ajan ñakchapash kan shuk verbo nachu ñakchajuni pero shuk sustantivo kashpa peine
    Time Stamp: ("'ts845'", "'ts846'"), Annotation: condor
    Time Stamp: ("'ts848'", "'ts850'"), Annotation: imashina pronunciacion kaypi condor
    Time Stamp: ("'ts853'", "'ts854'"), Annotation: ja
    Time Stamp: ("'ts855'", "'ts856'"), Annotation: ñuka rikushkani kaypi cerro puntaspi kikinwan
