Speaker: Mujer 1 
  Tier Type: po, Annotations Count: 560
    Time Stamp: ('ts879', 'ts880'), Annotation: yoooooo
    Time Stamp: ('ts888', 'ts891'), Annotation: si
    Time Stamp: ('ts896', 'ts898'), Annotation: (.....................)
    Time Stamp: ('ts899', 'ts900'), Annotation: parlashun 
    Time Stamp: ('ts901', 'ts902'), Annotation: guasho
    Time Stamp: ('ts913', 'ts914'), Annotation: ha yaya
    Time Stamp: ('ts916', 'ts920'), Annotation: asin akun 
    Time Stamp: ('ts956', 'ts958'), Annotation: ha 
    Time Stamp: ('ts959', 'ts960'), Annotation: ya ya 
    Time Stamp: ('ts963', 'ts964'), Annotation: kunun, kununga trabajanchirami 
    Time Stamp: ('ts965', 'ts968'), Annotation: asinakun 
    Time Stamp: ('ts992', 'ts994'), Annotation: asinakun 
    Time Stamp: ('ts995', 'ts998'), Annotation: asinakun 
    Time Stamp: ('ts1000', 'ts1002'), Annotation: siesk puede 
    Time Stamp: ('ts1036', 'ts1038'), Annotation: preguntale 
    Time Stamp: ('ts1039', 'ts1040'), Annotation: preguntale 
    Time Stamp: ('ts1075', 'ts1076'), Annotation: shina 
    Time Stamp: ('ts1077', 'ts1078'), Annotation: shinaka 
    Time Stamp: ('ts1079', 'ts1080'), Annotation: china montale 
    Time Stamp: ('ts1081', 'ts1082'), Annotation: kashna
    Time Stamp: ('ts1085', 'ts1086'), Annotation: may trabajunma rrigpika 
    Time Stamp: ('ts1087', 'ts1088'), Annotation: vaporr olorrga rringami 
    Time Stamp: ('ts1092', 'ts1094'), Annotation: ha ah 
    Time Stamp: ('ts1095', 'ts1096'), Annotation: ñukanchigka 
    Time Stamp: ('ts1097', 'ts1098'), Annotation: kayladupiga 
    Time Stamp: ('ts1099', 'ts1101'), Annotation: shinapacha trabajanchi 
    Time Stamp: ('ts1105', 'ts1106'), Annotation: mm mm
    Time Stamp: ('ts1131', 'ts1132'), Annotation: cierrto 
    Time Stamp: ('ts1143', 'ts1144'), Annotation: Yupagachi 
    Time Stamp: ('ts1145', 'ts1146'), Annotation: teniamos 
    Time Stamp: ('ts1147', 'ts1148'), Annotation: unguymanta 
    Time Stamp: ('ts1149', 'ts1150'), Annotation: ña shina 
    Time Stamp: ('ts1151', 'ts1152'), Annotation: ocupadaaaaaaaaa
    Time Stamp: ('ts1153', 'ts1154'), Annotation: unguymanda
    Time Stamp: ('ts1155', 'ts1156'), Annotation: imapash unguykunatami 
    Time Stamp: ('ts1157', 'ts1158'), Annotation: exagmenjunata 
    Time Stamp: ('ts1159', 'ts1160'), Annotation: ucha puringa 
    Time Stamp: ('ts1161', 'ts1163'), Annotation: pense 
    Time Stamp: ('ts1171', 'ts1172'), Annotation: cuytami 
    Time Stamp: ('ts1173', 'ts1174'), Annotation: ima bash 
    Time Stamp: ('ts1175', 'ts1176'), Annotation: (.................)
    Time Stamp: ('ts1177', 'ts1178'), Annotation: (........................)
    Time Stamp: ('ts1179', 'ts1180'), Annotation: (...............)
    Time Stamp: ('ts1181', 'ts1182'), Annotation: shina
    Time Stamp: ('ts1183', 'ts1184'), Annotation: kalparianga
    Time Stamp: ('ts1185', 'ts1186'), Annotation: pense 
    Time Stamp: ('ts1192', 'ts1194'), Annotation: voluntadmi 
    Time Stamp: ('ts1195', 'ts1196'), Annotation: shina 
    Time Stamp: ('ts1197', 'ts1198'), Annotation: puringayagpi 
    Time Stamp: ('ts1207', 'ts1208'), Annotation: haaaa
    Time Stamp: ('ts1209', 'ts1210'), Annotation: tomame aun dile pues 
    Time Stamp: ('ts1216', 'ts1219'), Annotation: asinakun 
    Time Stamp: ('ts1232', 'ts1234'), Annotation: toma chago
    Time Stamp: ('ts1247', 'ts1248'), Annotation: (........................)
    Time Stamp: ('ts1249', 'ts1250'), Annotation: (........................)
    Time Stamp: ('ts1251', 'ts1252'), Annotation: cogiendo
    Time Stamp: ('ts1257', 'ts1258'), Annotation: diga mami
    Time Stamp: ('ts1259', 'ts1260'), Annotation: ya 
    Time Stamp: ('ts1261', 'ts1262'), Annotation: conversado 
    Time Stamp: ('ts1264', 'ts1266'), Annotation: kayta na jundachishkani 
    Time Stamp: ('ts1267', 'ts1268'), Annotation: kaypi jipayanchi 
    Time Stamp: ('ts1292', 'ts1294'), Annotation: las ochota
    Time Stamp: ('ts1299', 'ts1300'), Annotation: cafeota ufiash shina 
    Time Stamp: ('ts1302', 'ts1304'), Annotation: yakuamanta 
    Time Stamp: ('ts1305', 'ts1307'), Annotation: nish trabajanajunchi 
    Time Stamp: ('ts1309', 'ts1310'), Annotation: mana mikugpi 
    Time Stamp: ('ts1311', 'ts1312'), Annotation: vigsa
    Time Stamp: ('ts1313', 'ts1314'), Annotation: yarijun 
    Time Stamp: ('ts1319', 'ts1320'), Annotation: yakunimannnn
    Time Stamp: ('ts1321', 'ts1322'), Annotation: shina 
    Time Stamp: ('ts1323', 'ts1324'), Annotation: yakuniman nin
    Time Stamp: ('ts1330', 'ts1332'), Annotation: (........................)
    Time Stamp: ('ts1337', 'ts1338'), Annotation: ñuka ushi shina 
    Time Stamp: ('ts1339', 'ts1340'), Annotation: mana karanata 
    Time Stamp: ('ts1341', 'ts1342'), Annotation: yachanan 
    Time Stamp: ('ts1344', 'ts1346'), Annotation: shina madrugado 
    Time Stamp: ('ts1347', 'ts1349'), Annotation: upinche 
    Time Stamp: ('ts1386', 'ts1388'), Annotation: asinakun 
    Time Stamp: ('ts1409', 'ts1411'), Annotation: (................)
    Time Stamp: ('ts1485', 'ts1486'), Annotation: (........................)
    Time Stamp: ('ts1487', 'ts1489'), Annotation: (........................)
    Time Stamp: ('ts1511', 'ts1512'), Annotation: chayamurkangichu 
    Time Stamp: ('ts1513', 'ts1514'), Annotation: sulula 
    Time Stamp: ('ts1521', 'ts1522'), Annotation: Mariaka nikami 
    Time Stamp: ('ts1523', 'ts1524'), Annotation: chingagami 
    Time Stamp: ('ts1525', 'ts1526'), Annotation: calleman shugshingi nilkami 
    Time Stamp: ('ts1539', 'ts1540'), Annotation: chica 
    Time Stamp: ('ts1550', 'ts1552'), Annotation: haaa
    Time Stamp: ('ts1553', 'ts1554'), Annotation: Rosi 
    Time Stamp: ('ts1572', 'ts1575'), Annotation: haaa
    Time Stamp: ('ts1593', 'ts1594'), Annotation: mm mm
    Time Stamp: ('ts1607', 'ts1608'), Annotation: ñuka hijaguanga 
    Time Stamp: ('ts1609', 'ts1610'), Annotation: tupukangichu 
    Time Stamp: ('ts1611', 'ts1612'), Annotation: ñaja 
    Time Stamp: ('ts1615', 'ts1616'), Annotation: ñuka hijaguanga tupukangichu 
    Time Stamp: ('ts1617', 'ts1618'), Annotation: ñuka hijaguan 
    Time Stamp: ('ts1619', 'ts1620'), Annotation: Mariaguan 
    Time Stamp: ('ts1628', 'ts1630'), Annotation: haaaaa
    Time Stamp: ('ts1632', 'ts1634'), Annotation: kayna 
    Time Stamp: ('ts1639', 'ts1640'), Annotation: haaaaa
    Time Stamp: ('ts1661', 'ts1662'), Annotation: nachu kununga 
    Time Stamp: ('ts1663', 'ts1664'), Annotation: Mexicomanga rringi 
    Time Stamp: ('ts1675', 'ts1676'), Annotation: ñukaka 
    Time Stamp: ('ts1677', 'ts1678'), Annotation: agostotami rririjuni 
    Time Stamp: ('ts1684', 'ts1686'), Annotation: Mexicota 
    Time Stamp: ('ts1691', 'ts1692'), Annotation: Panamatash 
    Time Stamp: ('ts1697', 'ts1699'), Annotation: diez diami rrijuni 
    Time Stamp: ('ts1703', 'ts1704'), Annotation: grupupi 
    Time Stamp: ('ts1712', 'ts1714'), Annotation: ashka kulkiguanllu rrina chaymunga 
    Time Stamp: ('ts1736', 'ts1738'), Annotation: puñunaka baratuchu 
    Time Stamp: ('ts1752', 'ts1754'), Annotation: ñukaka 
