Speaker: Simeon
  Tier Type: po, Annotations Count: 1045
    Time Stamp: ('ts1987', 'ts1988'), Annotation: shug periodistakuna rigsini 
    Time Stamp: ('ts1989', 'ts1990'), Annotation: tal vez shug reportaje 
    Time Stamp: ('ts1991', 'ts1992'), Annotation: shinasha ña 
    Time Stamp: ('ts1993', 'ts1994'), Annotation: ima puestokuna Quitupi ña
    Time Stamp: ('ts1995', 'ts1996'), Annotation: tianra 
    Time Stamp: ('ts1997', 'ts1998'), Annotation: kichua 
    Time Stamp: ('ts1999', 'ts2000'), Annotation: kichua rimakuna 
    Time Stamp: ('ts2047', 'ts2049'), Annotation: ari, ari 
    Time Stamp: ('ts2061', 'ts2062'), Annotation: ari, ari 
    Time Stamp: ('ts2085', 'ts2086'), Annotation: ari
    Time Stamp: ('ts2102', 'ts2105'), Annotation: ari
    Time Stamp: ('ts2106', 'ts2109'), Annotation: ari
    Time Stamp: ('ts2122', 'ts2124'), Annotation: ari
    Time Stamp: ('ts2125', 'ts2127'), Annotation: shina 
    Time Stamp: ('ts2129', 'ts2131'), Annotation: shinamari 
    Time Stamp: ('ts2143', 'ts2144'), Annotation: ari
    Time Stamp: ('ts2147', 'ts2148'), Annotation: ari, ari, ari 
    Time Stamp: ('ts2161', 'ts2162'), Annotation: mm
    Time Stamp: ('ts2167', 'ts2168'), Annotation: aja 
    Time Stamp: ('ts2169', 'ts2170'), Annotation: ima
    Time Stamp: ('ts2171', 'ts2172'), Annotation: pero 
    Time Stamp: ('ts2173', 'ts2174'), Annotation: chay horas 
    Time Stamp: ('ts2175', 'ts2176'), Annotation: entonces 
    Time Stamp: ('ts2177', 'ts2178'), Annotation: mana ciudad kashpaka 
    Time Stamp: ('ts2179', 'ts2180'), Annotation: shug 
    Time Stamp: ('ts2181', 'ts2182'), Annotation: llagta, llagta, llagta 
    Time Stamp: ('ts2183', 'ts2184'), Annotation: uchilla llagtakuna karka nachu 
    Time Stamp: ('ts2186', 'ts2188'), Annotation: chakilla rishpa 
    Time Stamp: ('ts2189', 'ts2190'), Annotation: zambuta 
    Time Stamp: ('ts2192', 'ts2195'), Annotation: mayman 
    Time Stamp: ('ts2197', 'ts2198'), Annotation: mayma rrina yacharcangich
    Time Stamp: ('ts2199', 'ts2200'), Annotation: ima
    Time Stamp: ('ts2201', 'ts2202'), Annotation: shug llagtakunama San Visaman 
    Time Stamp: ('ts2205', 'ts2206'), Annotation: ari
    Time Stamp: ('ts2220', 'ts2222'), Annotation: ima shuti chay guayko
    Time Stamp: ('ts2223', 'ts2224'), Annotation: shutita charinchu 
    Time Stamp: ('ts2232', 'ts2235'), Annotation: guakimbika punin
    Time Stamp: ('ts2237', 'ts2238'), Annotation: sambisa 
    Time Stamp: ('ts2239', 'ts2240'), Annotation: chaupi, chaupi rigsini
    Time Stamp: ('ts2241', 'ts2242'), Annotation: na yapa 
    Time Stamp: ('ts2243', 'ts2244'), Annotation: jatun guaykukuna tian chaypi 
    Time Stamp: ('ts2245', 'ts2248'), Annotation: porque urku, mas urku
    Time Stamp: ('ts2257', 'ts2258'), Annotation: a ja 
    Time Stamp: ('ts2261', 'ts2262'), Annotation: aaaaaa
    Time Stamp: ('ts2263', 'ts2264'), Annotation: yaaa
    Time Stamp: ('ts2265', 'ts2266'), Annotation: ari
    Time Stamp: ('ts2267', 'ts2268'), Annotation: rigsini ari 
    Time Stamp: ('ts2279', 'ts2281'), Annotation: imati 
    Time Stamp: ('ts2316', 'ts2319'), Annotation: a ya 
    Time Stamp: ('ts2326', 'ts2329'), Annotation: chaypash 
    Time Stamp: ('ts2333', 'ts2335'), Annotation: chay 
    Time Stamp: ('ts2345', 'ts2346'), Annotation: Llano grandeman chayashkangi 
    Time Stamp: ('ts2347', 'ts2348'), Annotation: chay gintikunauan 
    Time Stamp: ('ts2357', 'ts2359'), Annotation: Nayonpi tiarka 
    Time Stamp: ('ts2371', 'ts2372'), Annotation: a ya
    Time Stamp: ('ts2397', 'ts2399'), Annotation: cierrto
    Time Stamp: ('ts2403', 'ts2404'), Annotation: Lombisi
    Time Stamp: ('ts2405', 'ts2406'), Annotation: Lombisikuna
    Time Stamp: ('ts2407', 'ts2408'), Annotation: chaypi
    Time Stamp: ('ts2423', 'ts2424'), Annotation: si 
    Time Stamp: ('ts2455', 'ts2457'), Annotation: ha ha 
    Time Stamp: ('ts2471', 'ts2472'), Annotation: cierrto 
    Time Stamp: ('ts2487', 'ts2488'), Annotation: ari
    Time Stamp: ('ts2509', 'ts2510'), Annotation: ya
    Time Stamp: ('ts2521', 'ts2522'), Annotation: mmmm
    Time Stamp: ('ts2530', 'ts2532'), Annotation: Cumbayapi ima tiarka 
    Time Stamp: ('ts2534', 'ts2537'), Annotation: hacienda shina 
    Time Stamp: ('ts2545', 'ts2546'), Annotation: mm
    Time Stamp: ('ts2563', 'ts2564'), Annotation: ari
    Time Stamp: ('ts2577', 'ts2578'), Annotation: ari
    Time Stamp: ('ts2579', 'ts2580'), Annotation: paykuna nirka ña
    Time Stamp: ('ts2581', 'ts2582'), Annotation: jaku cam
    Time Stamp: ('ts2583', 'ts2585'), Annotation: campupi kausangapa 
    Time Stamp: ('ts2586', 'ts2589'), Annotation: patkuna pura edificio , kutin jundashka
    Time Stamp: ('ts2590', 'ts2592'), Annotation: kunan paykuna rrin 
    Time Stamp: ('ts2593', 'ts2594'), Annotation: Puembo y shugkunaman 
    Time Stamp: ('ts2595', 'ts2597'), Annotation: ari
    Time Stamp: ('ts2599', 'ts2601'), Annotation: shina 
    Time Stamp: ('ts2605', 'ts2607'), Annotation: na tian campu chaypi
    Time Stamp: ('ts2621', 'ts2622'), Annotation: ari
    Time Stamp: ('ts2643', 'ts2644'), Annotation: ha ha 
    Time Stamp: ('ts2655', 'ts2657'), Annotation: mmm
    Time Stamp: ('ts2660', 'ts2662'), Annotation: kaypi 
    Time Stamp: ('ts2664', 'ts2666'), Annotation: pero kaypi 
    Time Stamp: ('ts2668', 'ts2670'), Annotation: tarpuna yacharka kaypi punta
    Time Stamp: ('ts2701', 'ts2702'), Annotation: ari
    Time Stamp: ('ts2709', 'ts2711'), Annotation: ari
    Time Stamp: ('ts2737', 'ts2739'), Annotation: aku
    Time Stamp: ('ts2756', 'ts2757'), Annotation: ari
    Time Stamp: ('ts2760', 'ts2761'), Annotation: chay horas 
    Time Stamp: ('ts2780', 'ts2783'), Annotation: ya na mikuna ari
    Time Stamp: ('ts2799', 'ts2800'), Annotation: ari, ari
    Time Stamp: ('ts2803', 'ts2804'), Annotation: tortilla shina, rrurrana yacharka 
    Time Stamp: ('ts2811', 'ts2815'), Annotation: papa tortiya
    Time Stamp: ('ts2817', 'ts2818'), Annotation: sarapash 
    Time Stamp: ('ts2823', 'ts2825'), Annotation: ya
    Time Stamp: ('ts2891', 'ts2892'), Annotation: mm j 
    Time Stamp: ('ts2907', 'ts2909'), Annotation: (asinakun)
    Time Stamp: ('ts2911', 'ts2912'), Annotation: shinamari 
    Time Stamp: ('ts2913', 'ts2914'), Annotation: ña, ña shaijujungi 
    Time Stamp: ('ts2915', 'ts2916'), Annotation: ña rrikusha 
    Time Stamp: ('ts2917', 'ts2918'), Annotation: mashna tiempo parrlashkanchi 
    Time Stamp: ('ts2920', 'ts2922'), Annotation: paktanga 
    Time Stamp: ('ts2923', 'ts2924'), Annotation: ashalla 
    Time Stamp: ('ts2925', 'ts2926'), Annotation: catingapa diez minutos 
